"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-03-27T18:21:48.005643805Z","27","10","0","18",46.83443,8.1831,"21","3","0","9","40.2","3.7962","23"
"2","eui-70b3d57ed00508ca","2023-03-27T17:21:32.933555877Z","27","20","0","17",46.83404,8.18303,"21","3","0","6","40.2","3.8025","23"
"3","eui-70b3d57ed00508ca","2023-03-27T16:21:03.867097435Z","27","10","0","16",46.83407,8.18253,"21","3","0","0","40.2","3.8012","23"
"4","eui-70b3d57ed00508ca","2023-03-27T15:20:47.087462865Z","27","10","0","15",46.83371,8.1825,"20","3","0","8","40.2","3.8025","23"
"5","eui-70b3d57ed00508ca","2023-03-27T14:20:27.849039086Z","27","10","0","14",46.83447,8.18272,"20","3","0","5","40.2","3.8012","23"
"6","eui-70b3d57ed00508ca","2023-03-27T13:20:07.688489753Z","27","10","0","13",46.83378,8.18301,"20","3","0","1","40.2","3.8","23"
"7","eui-70b3d57ed00508ca","2023-03-27T12:19:53.628149975Z","27","10","0","12",46.83418,8.18282,"19","3","0","10","40.2","3.7975","23"
"8","eui-70b3d57ed00508ca","2023-03-27T11:19:40.583899683Z","27","10","0","11",46.83411,8.18269,"19","3","0","7","40.2","3.7962","23"
"9","eui-70b3d57ed00508ca","2023-03-27T10:19:28.515908639Z","27","10","0","10",46.83458,8.18263,"19","3","0","5","40.2","3.7937","23"
"10","eui-70b3d57ed00508ca","2023-03-27T09:19:12.445065798Z","27","10","0","9",46.83369,8.18293,"19","3","0","2","40.2","3.7925","23"
"11","eui-70b3d57ed00508ca","2023-03-27T08:18:26.381208876Z","27","20","0","8",46.83364,8.18322,"18","3","0","4","40.2","3.7912","23"
"12","eui-70b3d57ed00508ca","2023-03-27T07:18:00.334995006Z","27","20","0","7",46.83396,8.17778,"17","3","0","11","40.2","3.7925","23"
"13","eui-70b3d57ed00508ca","2023-03-27T06:17:22.256292612Z","27","10","0","6",46.83373,8.18321,"17","3","0","4","40.2","3.7937","23"
"14","eui-70b3d57ed00508ca","2023-03-27T05:16:50.190227596Z","27","20","0","5",46.83266,8.18648,"16","3","0","9","40.2","3.795","23"
"15","eui-70b3d57ed00508ca","2023-03-27T04:16:20.162157442Z","27","20","0","4",46.8333,8.18261,"16","3","0","3","40.2","3.795","23"
"16","eui-70b3d57ed00508ca","2023-03-27T03:16:07.087230990Z","27","10","0","3",46.8331,8.1832,"16","3","0","0","40.2","3.795","23"
"17","eui-70b3d57ed00508ca","2023-03-27T02:15:50.018979975Z","27","10","0","2",46.84455,8.1891,"15","3","0","9","40.2","3.7987","23"
"18","eui-70b3d57ed00508ca","2023-03-27T01:15:16.960677929Z","27","10","0","1",46.83888,8.19053,"15","3","0","2","40.2","3.8","23"
"19","eui-70b3d57ed00508ca","2023-03-27T00:14:56.963823837Z","27","10","0","0",46.83812,8.19563,"14","3","0","10","40.2","3.7987","23"
"20","eui-70b3d57ed00508ca","2023-03-26T23:14:39.853139934Z","26","10","0","23",46.83035,8.17209,"14","3","0","7","40.2","3.8012","23"
"21","eui-70b3d57ed00508ca","2023-03-26T22:14:21.794349949Z","26","20","0","22",46.84229,8.19139,"14","3","0","4","40.2","3.8037","23"
"22","eui-70b3d57ed00508ca","2023-03-26T21:14:06.722042835Z","26","10","0","21",46.832,8.19112,"14","3","0","1","40.2","3.805","23"
"23","eui-70b3d57ed00508ca","2023-03-26T20:13:50.681156998Z","26","20","0","20",46.83525,8.18091,"13","3","0","9","40.2","3.805","23"
"24","eui-70b3d57ed00508ca","2023-03-26T19:13:31.638396360Z","26","10","0","19",46.83372,8.18236,"13","3","0","5","40.2","3.8087","23"
"25","eui-70b3d57ed00508ca","2023-03-26T18:13:18.573798566Z","26","10","0","18",46.83374,8.18292,"13","3","0","3","40.2","3.8075","23"
"26","eui-70b3d57ed00508ca","2023-03-26T17:13:04.537958049Z","26","10","0","17",46.83334,8.18278,"13","3","0","0","40.2","3.8125","23"
"27","eui-70b3d57ed00508ca","2023-03-26T16:12:50.508894127Z","26","0","0","16",46.83348,8.18267,"12","3","0","9","40.2","3.8487","23"
"28","eui-70b3d57ed00508ca","2023-03-26T15:08:41.453009216Z","26","20","0","15",46.83342,8.18279,"8","3","0","7","40.2","3.8325","23"
"29","eui-70b3d57ed00508ca","2023-03-26T14:08:21.391458249Z","26","10","0","14",46.83342,8.1827,"8","3","0","3","40.2","3.8287","23"
"30","eui-70b3d57ed00508ca","2023-03-26T13:08:08.457139318Z","26","10","0","13",46.83343,8.18252,"8","3","0","1","40.2","3.815","23"
"31","eui-70b3d57ed00508ca","2023-03-26T12:07:53.362970902Z","26","10","0","12",46.83384,8.18305,"7","3","0","10","40.2","3.7975","23"
