"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-17T16:10:34.121520926Z","17","10","0","16",46.83353,8.18302,"10","4","96004","6","16.6","4.0725","23"
"2","eui-70b3d57ed00508ca","2023-04-17T16:00:23.119511264Z","17","0","0","16",46.83345,8.18283,"0","4","96008.6","4","21.6","4.23","23"
"3","eui-70b3d57ed00508ca","2023-04-17T15:47:14.116418441Z","17","10","0","15",46.83334,8.18313,"47","4","96021.3","2","15.8","4.2062","23"
"4","eui-70b3d57ed00508ca","2023-04-17T15:37:02.134080287Z","17","10","0","15",46.83336,8.18279,"37","4","96026.6","0","17.6","4.1762","23"
"5","eui-70b3d57ed00508ca","2023-04-17T15:26:36.126688530Z","17","20","0","15",46.83376,8.18286,"26","4","96030.2","6","14.6","4.1675","23"
"6","eui-70b3d57ed005bd07","2023-04-17T15:19:40.485286841Z","17","10","0","15",46.83209,8.18204,"19","4","96035.9","7","15.6","4.0262","23"
"7","eui-70b3d57ed00508ca","2023-04-17T15:16:23.129552194Z","17","10","0","15",46.83344,8.18254,"16","4","96032.7","4","14.2","4.1512","23"
"8","eui-70b3d57ed005bd07","2023-04-17T15:09:26.478765532Z","17","0","0","15",46.83345,8.18265,"9","4","96034.7","4","23","4.2025","23"
"9","eui-70b3d57ed005bd07","2023-04-17T14:56:17.493718821Z","17","10","0","14",46.8333,8.18269,"56","4","96037.4","3","16.8","4.1637","23"
"10","eui-70b3d57ed00508ca","2023-04-17T14:56:12.127583777Z","17","10","0","14",46.83372,8.18285,"56","4","96032.1","1","15.4","4.1112","23"
"11","eui-70b3d57ed005bd07","2023-04-17T14:46:06.483485460Z","17","0","0","14",46.8335,8.18274,"46","4","96035.8","0","24","4.32","23"
"12","eui-70b3d57ed00508ca","2023-04-17T14:46:01.138106696Z","17","0","0","14",46.8335,8.18267,"45","4","96033.9","11","19.2","4.2687","23"
"13","eui-70b3d57ed005bd07","2023-04-17T14:32:57.479881750Z","17","10","0","14",46.83334,8.18281,"32","4","96052.1","11","16.4","4.2725","23"
"14","eui-70b3d57ed00508ca","2023-04-17T14:32:52.118695459Z","17","10","0","14",46.83365,8.18288,"32","4","96047.4","9","15","4.2325","23"
"15","eui-70b3d57ed005bd07","2023-04-17T14:22:46.466660572Z","17","10","0","14",46.8337,8.18325,"22","4","96055.7","8","15.6","4.1925","23"
