"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-19T19:59:54.163183060Z","19","10","0","19",46.83255,8.18061,"59","4","95781.3","10","11.2","4.05","23"
"2","eui-70b3d57ed005bd07","2023-04-19T19:42:44.208016004Z","19","10","0","19",46.83455,8.18326,"42","4","95799.6","8","14.6","4.1275","23"
"3","eui-70b3d57ed005bd07","2023-04-19T19:32:02.204962570Z","19","10","0","19",46.83365,8.18288,"32","4","95798.2","0","13.2","4.1612","23"
"4","eui-70b3d57ed00508ca","2023-04-19T18:59:41.171614039Z","19","10","0","18",46.83291,8.18025,"59","4","95791.8","7","12","4.0337","23"
"5","eui-70b3d57ed00508ca","2023-04-19T18:39:27.159681838Z","19","10","0","18",46.83356,8.18288,"39","4","95783.7","5","14.8","4.0737","23"
"6","eui-70b3d57ed00508ca","2023-04-19T18:18:41.154262650Z","19","10","0","18",46.83368,8.18243,"18","4","95781.4","7","12.2","4.075","23"
"7","eui-70b3d57ed00508ca","2023-04-19T17:58:27.155955614Z","19","10","0","17",46.83331,8.1824,"58","4","95780.6","5","14.6","4.1025","23"
"8","eui-70b3d57ed00508ca","2023-04-19T17:37:52.148760457Z","19","10","0","17",46.83333,8.18297,"37","4","95781.5","10","13.4","4.1149","23"
"9","eui-70b3d57ed005bd07","2023-04-19T17:31:34.191542343Z","19","10","0","17",46.83367,8.1839,"31","4","95796.1","6","15.4","4.1425","23"
"10","eui-70b3d57ed005bd07","2023-04-19T17:21:00.184604012Z","19","10","0","17",46.83403,8.18395,"20","4","95795.3","11","15.2","4.1625","23"
"11","eui-70b3d57ed00508ca","2023-04-19T17:17:35.179748431Z","19","10","0","17",46.83352,8.18309,"17","4","95786.9","6","14.6","4.1312","23"
"12","eui-70b3d57ed005bd07","2023-04-19T17:10:31.190509604Z","19","10","0","17",46.83368,8.18436,"10","4","95791.7","5","14.4","4.165","23"
"13","eui-70b3d57ed005bd07","2023-04-19T17:00:12.199050565Z","19","10","0","17",46.83375,8.18302,"0","4","95795.9","2","16.8","4.1962","23"
"14","eui-70b3d57ed00508ca","2023-04-19T16:57:12.170314299Z","19","10","0","16",46.83392,8.17891,"57","4","95791","1","14.2","4.1337","23"
"15","eui-70b3d57ed005bd07","2023-04-19T16:49:33.192585202Z","19","10","0","16",46.83353,8.18295,"49","4","95800.9","6","17.2","4.2337","23"
"16","eui-70b3d57ed005bd07","2023-04-19T16:38:55.178712943Z","19","10","0","16",46.83411,8.18085,"38","4","95806","10","15.4","4.2325","23"
"17","eui-70b3d57ed005bd07","2023-04-19T16:28:36.191486028Z","19","10","0","16",46.83379,8.18315,"28","4","95810.6","6","19.4","4.3","23"
"18","eui-70b3d57ed005bd07","2023-04-19T16:17:36.211866414Z","19","10","0","16",46.83364,8.18188,"17","4","95814.5","6","15.8","4.3","23"
"19","eui-70b3d57ed005bd07","2023-04-19T16:07:18.190356488Z","19","10","0","16",46.8337,8.18269,"7","4","95816.6","3","17","4.3087","23"
"20","eui-70b3d57ed005bd07","2023-04-19T15:56:58.193723923Z","19","10","0","15",46.83218,8.18168,"56","4","95817.8","11","17","4.2987","23"
"21","eui-70b3d57ed00508ca","2023-04-19T15:56:56.182537441Z","19","10","0","15",46.83355,8.18254,"56","4","95808.9","10","15.6","4.0437","23"
"22","eui-70b3d57ed00508ca","2023-04-19T15:46:44.166496157Z","19","0","0","15",46.83348,8.18268,"46","4","95808.9","8","21.4","4.2487","23"
"23","eui-70b3d57ed005bd07","2023-04-19T15:46:42.189555628Z","19","10","0","15",46.83281,8.18222,"46","4","95818.7","8","21.6","4.34","23"
"24","eui-70b3d57ed005bd07","2023-04-19T15:35:51.201008214Z","19","10","0","15",46.83313,8.18279,"35","4","95823.3","9","18.8","4.3225","23"
"25","eui-70b3d57ed00508ca","2023-04-19T15:33:35.184685612Z","19","10","0","15",46.83378,8.1821,"33","4","95814.3","6","16.6","4.2275","23"
"26","eui-70b3d57ed005bd07","2023-04-19T15:25:20.181339955Z","19","10","0","15",46.83339,8.18279,"25","4","95823.2","3","20.8","4.3562","23"
"27","eui-70b3d57ed00508ca","2023-04-19T15:23:19.193494717Z","19","10","0","15",46.83341,8.1827,"23","4","95813.1","3","16.4","4.2112","23"
"28","eui-70b3d57ed005bd07","2023-04-19T15:14:32.200210576Z","19","10","0","15",46.83385,8.18289,"14","4","95824.4","5","17.6","4.3537","23"
"29","eui-70b3d57ed00508ca","2023-04-19T15:13:05.218401880Z","19","10","0","15",46.83359,8.18311,"13","4","95816.4","0","17.2","4.1925","23"
"30","eui-70b3d57ed005bd07","2023-04-19T15:04:15.194210255Z","19","10","0","15",46.83345,8.18272,"4","4","95834.3","2","20.2","4.3625","23"
"31","eui-70b3d57ed005bd07","2023-04-19T14:53:48.193335008Z","19","10","0","14",46.83408,8.18319,"53","4","95832.1","9","19.2","4.3425","23"
"32","eui-70b3d57ed00508ca","2023-04-19T14:52:49.203343749Z","19","10","0","14",46.83384,8.18288,"52","4","95826.1","9","17.4","4.1037","23"
"33","eui-70b3d57ed005bd07","2023-04-19T14:43:30.201365176Z","19","10","0","14",46.83349,8.18303,"43","4","95842.9","5","19.6","4.3024","23"
"34","eui-70b3d57ed00508ca","2023-04-19T14:42:37.196186248Z","19","0","0","14",46.83345,8.18267,"42","4","95834.7","7","24","4.255","23"
"35","eui-70b3d57ed005bd07","2023-04-19T14:33:18.200675932Z","19","10","0","14",46.83338,8.18265,"33","4","95847.7","3","29.4","4.3662","23"
"36","eui-70b3d57ed00508ca","2023-04-19T14:29:27.204347222Z","19","0","0","14",46.83354,8.18268,"29","4","95843.4","5","26.6","4.36","23"
"37","eui-70b3d57ed005bd07","2023-04-19T14:21:15.194538794Z","19","10","0","14",46.83368,8.18263,"21","4","95863.8","2","20.8","4.3575","23"
"38","eui-70b3d57ed00508ca","2023-04-19T14:16:18.206208758Z","19","10","0","14",46.83367,8.18252,"16","4","95856.4","3","22.2","4.3637","23"
"39","eui-70b3d57ed005bd07","2023-04-19T14:10:56.193654357Z","19","10","0","14",46.83369,8.18249,"10","4","95871.3","10","22.6","4.3612","23"
"40","eui-70b3d57ed00508ca","2023-04-19T14:06:02.207108095Z","19","10","0","14",46.83355,8.18251,"5","4","95866.8","11","20.8","4.36","23"
"41","eui-70b3d57ed005bd07","2023-04-19T14:00:41.187366612Z","19","10","0","14",46.83392,8.1828,"0","4","95879.7","7","21.6","4.3562","23"
"42","eui-70b3d57ed00508ca","2023-04-19T13:55:48.226756554Z","19","10","0","13",46.83356,8.18253,"55","4","95876.5","9","22.4","4.3612","23"
"43","eui-70b3d57ed005bd07","2023-04-19T13:50:29.204225990Z","19","10","0","13",46.83362,8.18254,"50","4","95889.8","5","23.6","4.3537","23"
"44","eui-70b3d57ed00508ca","2023-04-19T13:45:34.226349610Z","19","10","0","13",46.83368,8.18238,"45","4","95889.7","6","23.4","4.3612","23"
"45","eui-70b3d57ed005bd07","2023-04-19T13:40:12.184810932Z","19","10","0","13",46.83304,8.18149,"40","4","95902.7","2","26.6","4.355","23"
"46","eui-70b3d57ed00508ca","2023-04-19T13:35:21.224320675Z","19","10","0","13",46.83365,8.18246,"35","4","95900.8","3","22.8","4.3625","23"
"47","eui-70b3d57ed005bd07","2023-04-19T13:29:39.204724838Z","19","10","0","13",46.83425,8.18309,"29","4","95919.9","7","25.2","4.3575","23"
"48","eui-70b3d57ed00508ca","2023-04-19T13:25:06.227939462Z","19","10","0","13",46.83372,8.18247,"25","4","95921.9","0","22.4","4.3587","23"
"49","eui-70b3d57ed005bd07","2023-04-19T13:19:23.201428788Z","19","10","0","13",46.83348,8.18276,"19","4","95934.8","4","26.2","4.3562","23"
"50","eui-70b3d57ed00508ca","2023-04-19T13:14:51.222836669Z","19","10","0","13",46.8333,8.18278,"14","4","95932.4","9","23","4.36","23"
"51","eui-70b3d57ed005bd07","2023-04-19T13:09:00.205755376Z","19","10","0","13",46.83352,8.18287,"8","4","95947.9","11","25.2","4.3575","23"
"52","eui-70b3d57ed00508ca","2023-04-19T13:04:38.233614083Z","19","10","0","13",46.83351,8.18281,"4","4","95945.3","7","24.4","4.3612","23"
"53","eui-70b3d57ed005bd07","2023-04-19T12:58:41.203425Z","19","10","0","12",46.83355,8.18261,"58","4","95960.9","7","25","4.355","23"
"54","eui-70b3d57ed00508ca","2023-04-19T12:54:16.235738165Z","19","10","0","12",46.83382,8.18259,"54","4","95957.4","2","23.6","4.36","23"
"55","eui-70b3d57ed005bd07","2023-04-19T12:48:27.222280018Z","19","10","0","12",46.8333,8.1831,"48","4","95971.3","5","25","4.355","23"
"56","eui-70b3d57ed00508ca","2023-04-19T12:44:02.254364082Z","19","10","0","12",46.8337,8.1824,"43","4","95967.3","11","24.4","4.3637","23"
"57","eui-70b3d57ed005bd07","2023-04-19T12:38:12.190550389Z","19","10","0","12",46.83332,8.18272,"38","4","95981","2","27","4.3575","23"
"58","eui-70b3d57ed00508ca","2023-04-19T12:33:47.251368613Z","19","10","0","12",46.8331,8.1829,"33","4","95975.2","9","23","4.36","23"
"59","eui-70b3d57ed005bd07","2023-04-19T12:27:47.185850028Z","19","10","0","12",46.83335,8.1832,"27","4","95986.1","8","28.6","4.3575","23"
"60","eui-70b3d57ed00508ca","2023-04-19T12:23:34.265790406Z","19","10","0","12",46.83299,8.18312,"23","4","95980.4","6","26.4","4.3649","23"
"61","eui-70b3d57ed005bd07","2023-04-19T12:17:23.210449634Z","19","10","0","12",46.83314,8.18288,"17","4","95996.4","4","24.8","4.3575","23"
"62","eui-70b3d57ed00508ca","2023-04-19T12:13:20.247226188Z","19","10","0","12",46.83336,8.18293,"13","4","95987.7","3","25.4","4.3625","23"
"63","eui-70b3d57ed005bd07","2023-04-19T12:07:08.207040816Z","19","10","0","12",46.83311,8.1828,"7","4","96001.2","1","25.8","4.3575","23"
"64","eui-70b3d57ed00508ca","2023-04-19T12:02:59.266293239Z","19","10","0","12",46.83318,8.18285,"2","4","95997.1","11","24","4.36","23"
"65","eui-70b3d57ed005bd07","2023-04-19T11:56:54.213389249Z","19","10","0","11",46.83324,8.18261,"56","4","96012.2","10","27","4.3562","23"
"66","eui-70b3d57ed00508ca","2023-04-19T11:52:47.267948621Z","19","10","0","11",46.83341,8.18283,"52","4","96008.3","8","26.4","4.3625","23"
"67","eui-70b3d57ed005bd07","2023-04-19T11:46:42.197964188Z","19","10","0","11",46.83342,8.18282,"46","4","96022.7","8","26.4","4.3562","23"
"68","eui-70b3d57ed00508ca","2023-04-19T11:42:35.253979416Z","19","10","0","11",46.83324,8.18268,"42","4","96016.7","6","22","4.36","23"
"69","eui-70b3d57ed005bd07","2023-04-19T11:36:01.202658275Z","19","20","0","11",46.83365,8.18312,"35","4","96031.8","11","24.8","4.3637","23"
"70","eui-70b3d57ed00508ca","2023-04-19T11:32:23.273658350Z","19","10","0","11",46.83327,8.1827,"32","4","96029.2","4","21.8","4.3612","23"
