"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-10T19:48:12.548010142Z","10","10","0","19",46.8329,8.18373,"48","4","96147.9","2","14","4.1312","23"
"2","eui-70b3d57ed00508ca","2023-04-10T19:27:48.572292292Z","10","10","0","19",46.83361,8.183,"27","4","96098.9","9","12.8","4.1225","23"
"3","eui-70b3d57ed00508ca","2023-04-10T19:17:33.548266411Z","10","10","0","19",46.83312,8.18301,"17","4","96109.5","6","16.2","4.16","23"
"4","eui-70b3d57ed00508ca","2023-04-10T19:06:37.550564819Z","10","10","0","19",46.83334,8.18272,"6","4","96093.1","7","11.8","4.16","23"
"5","eui-70b3d57ed00508ca","2023-04-10T18:56:25.559857335Z","10","10","0","18",46.8334,8.18262,"56","4","96062.8","4","12.2","4.1562","23"
"6","eui-70b3d57ed00508ca","2023-04-10T18:46:12.533131795Z","10","10","0","18",46.83333,8.18249,"46","4","96072.6","2","15.4","4.1737","23"
"7","eui-70b3d57ed00508ca","2023-04-10T18:35:43.546382138Z","10","10","0","18",46.8334,8.18292,"35","4","96074.5","8","13.2","4.1787","23"
"8","eui-70b3d57ed00508ca","2023-04-10T18:25:28.542389722Z","10","10","0","18",46.83354,8.18255,"25","4","96068.4","5","13.8","4.1774","23"
"9","eui-70b3d57ed00508ca","2023-04-10T18:15:12.549957384Z","10","10","0","18",46.83346,8.18277,"15","4","96083.2","2","17.2","4.2075","23"
"10","eui-70b3d57ed00508ca","2023-04-10T18:04:28.555974640Z","10","10","0","18",46.8336,8.18192,"4","4","96089.5","5","13.8","4.2075","23"
"11","eui-70b3d57ed00508ca","2023-04-10T17:54:12.542216863Z","10","10","0","17",46.83321,8.1835,"54","4","96086.5","2","16.6","4.2237","23"
"12","eui-70b3d57ed00508ca","2023-04-10T17:43:40.527595740Z","10","10","0","17",46.83354,8.18275,"43","4","96099.5","7","18.4","4.2512","23"
"13","eui-70b3d57ed00508ca","2023-04-10T17:33:01.534888223Z","10","10","0","17",46.83336,8.18229,"32","4","96103","11","17","4.2675","23"
"14","eui-70b3d57ed00508ca","2023-04-10T17:22:39.531040854Z","10","10","0","17",46.8334,8.1828,"22","4","96097.5","7","15.8","4.2687","23"
"15","eui-70b3d57ed00508ca","2023-04-10T17:12:25.543268294Z","10","10","0","17",46.83335,8.18272,"12","4","96097.3","4","16","4.2675","23"
"16","eui-70b3d57ed00508ca","2023-04-10T17:02:12.526835413Z","10","10","0","17",46.83387,8.18299,"2","4","96097.3","2","20.8","4.3037","23"
