"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-20T19:39:19.821893911Z","20","30","0","19",46.83322,8.18224,"39","4","95593.5","3","4.4","3.9337","23"
"2","eui-70b3d57ed005bd07","2023-04-20T19:16:47.846693228Z","20","10","0","19",46.83416,8.18391,"16","4","95601.9","9","4.2","4.1437","23"
"3","eui-70b3d57ed00508ca","2023-04-20T18:38:52.776797831Z","20","10","0","18",46.83382,8.18234,"38","4","95579.2","10","5","3.9475","23"
"4","eui-70b3d57ed00508ca","2023-04-20T17:38:32.732816880Z","20","10","0","17",46.83358,8.1835,"38","4","95560.3","6","7.4","3.98","23"
"5","eui-70b3d57ed005bd07","2023-04-20T17:16:24.775484404Z","20","10","0","17",46.83292,8.183,"16","4","95569","4","6","4.1412","23"
"6","eui-70b3d57ed005bd07","2023-04-20T17:06:11.769061397Z","20","10","0","17",46.83353,8.18303,"6","4","95574.6","2","8.2","4.1862","23"
"7","eui-70b3d57ed005bd07","2023-04-20T16:55:38.766046344Z","20","10","0","16",46.83412,8.18256,"55","4","95571.8","7","6.2","4.1862","23"
"8","eui-70b3d57ed005bd07","2023-04-20T16:45:22.768990551Z","20","10","0","16",46.83332,8.18281,"45","4","95558.5","4","6.6","4.2062","23"
"9","eui-70b3d57ed00508ca","2023-04-20T16:38:02.694974300Z","20","10","0","16",46.83347,8.1829,"38","4","95548","0","6.6","3.9925","23"
"10","eui-70b3d57ed005bd07","2023-04-20T16:35:08.758955346Z","20","10","0","16",46.83351,8.18299,"35","4","95556.1","1","7.2","4.21","23"
"11","eui-70b3d57ed005bd07","2023-04-20T16:24:51.756993756Z","20","10","0","16",46.83338,8.18273,"24","4","95562","9","7.8","4.225","23"
"12","eui-70b3d57ed005bd07","2023-04-20T16:14:32.753741761Z","20","10","0","16",46.83294,8.18246,"14","4","95551.2","6","8.6","4.2387","23"
