"","id","message_time","day","hdop","hdop2","historical","hour","latitude","longitude","minute","month","second","siv","fix_time","year"
"44","eui-70b3d57ed005bd07","2023-05-04T17:05:51.186628717Z","4","124","1.24","0","17",46.83351,8.18291,"5","5","9","5","100","23"
"45","eui-70b3d57ed005bd07","2023-05-04T17:00:34.611773790Z","4","160","1.6","0","17",46.8336,8.18307,"0","5","6","6","100","23"
"46","eui-70b3d57ed005bd07","2023-05-04T16:55:18.025356687Z","4","158","1.58","0","16",46.83352,8.18286,"55","5","3","5","100","23"
"47","eui-70b3d57ed005bd07","2023-05-04T16:50:01.495229121Z","4","154","1.54","0","16",46.8335,8.18286,"49","5","10","5","100","23"
"48","eui-70b3d57ed005bd07","2023-05-04T16:44:44.879930456Z","4","144","1.44","0","16",46.83364,8.18327,"44","5","8","5","100","23"
"49","eui-70b3d57ed005bd07","2023-05-04T16:42:49.314189981Z","4","109","1.09","0","16",46.83346,8.18306,"42","5","8","0","1","23"
"50","eui-70b3d57ed005bd07","2023-05-04T16:37:32.748030688Z","4","109","1.09","0","16",46.83346,8.18306,"37","5","1","8","1","23"
"51","eui-70b3d57ed005bd07","2023-05-04T16:37:16.167278064Z","4","109","1.09","0","16",46.83346,8.18306,"37","5","1","8","142","23"
"52","eui-70b3d57ed005bd07","2023-05-04T16:31:59.587324771Z","4","113","1.13","0","16",46.83354,8.18297,"31","5","10","7","142","23"
"53","eui-70b3d57ed005bd07","2023-05-04T16:26:43.013420945Z","4","120","1.2","0","16",46.83352,8.18282,"26","5","8","7","142","23"
"54","eui-70b3d57ed005bd07","2023-05-04T16:24:05.475350620Z","4","124","1.24","0","16",46.83352,8.18286,"24","5","0","6","142","23"
"55","eui-70b3d57ed005bd07","2023-05-04T16:21:27.853785532Z","4","129","1.29","0","16",46.83352,8.18284,"21","5","5","5","61","23"
"56","eui-70b3d57ed005bd07","2023-05-04T16:20:11.296119767Z","4","170","1.7","0","16",46.83333,8.18287,"20","5","0","5","69","23"
"57","eui-70b3d57ed005bd07","2023-05-04T16:18:46.705228867Z","4","155","1.55","0","16",46.83356,8.18297,"18","5","4","6","1","23"
"58","eui-70b3d57ed005bd07","2023-05-04T16:18:30.133175371Z","4","155","1.55","0","16",46.83356,8.18297,"18","5","4","6","136","23"
"59","eui-70b3d57ed005bd07","2023-05-04T16:13:13.562444517Z","4","113","1.13","0","16",46.83345,8.18279,"13","5","2","8","136","23"
"60","eui-70b3d57ed005bd07","2023-05-04T16:10:42.009083491Z","4","157","1.57","0","16",46.83368,8.18321,"10","5","8","7","100","23"
"61","eui-70b3d57ed005bd07","2023-05-04T16:08:46.411995369Z","4","187","1.87","0","16",46.83367,8.18293,"8","5","8","6","42","23"
"62","eui-70b3d57ed005bd07","2023-05-04T16:07:48.831481592Z","4","225","2.25","0","16",46.83352,8.18288,"7","5","8","6","36","23"
"63","eui-70b3d57ed005bd07","2023-05-04T16:06:57.257364978Z","4","16","2.72","0","16",46.83348,8.18273,"6","5","10","5","59","23"
"64","eui-70b3d57ed005bd07","2023-05-04T16:05:42.693024732Z","4","155","1.55","0","16",46.83333,8.18269,"5","5","3","6","1","23"
"65","eui-70b3d57ed005bd07","2023-05-04T16:05:26.131291643Z","4","155","1.55","0","16",46.83333,8.18269,"5","5","3","6","46","23"
"66","eui-70b3d57ed005bd07","2023-05-04T16:00:09.536380892Z","4","54","3.1","0","16",46.83341,8.1831,"0","5","0","5","46","23"
"67","eui-70b3d57ed005bd07","2023-05-04T15:54:52.951284061Z","4","105","1.05","0","15",46.83295,8.1822,"54","5","10","8","46","23"
"68","eui-70b3d57ed005bd07","2023-05-04T15:53:51.385701547Z","4","102","1.02","0","15",46.83342,8.18294,"53","5","8","7","45","23"
"69","eui-70b3d57ed005bd07","2023-05-04T15:52:50.809421983Z","4","195","1.95","0","15",46.83364,8.18303,"52","5","9","5","20","23"
"70","eui-70b3d57ed005bd07","2023-05-04T15:52:15.238329485Z","4","188","1.88","0","15",46.83339,8.1829,"52","5","2","6","29","23"
"71","eui-70b3d57ed005bd07","2023-05-04T15:51:30.651535126Z","4","137","1.37","0","15",46.83344,8.18289,"51","5","5","5","27","23"
"72","eui-70b3d57ed005bd07","2023-05-04T15:50:48.071019209Z","4","98","0.98","0","15",46.83346,8.18282,"50","5","8","10","72","23"
"73","eui-70b3d57ed005bd07","2023-05-04T15:49:20.511813967Z","4","101","1.01","0","15",46.83348,8.1828,"49","5","2","8","47","23"
"74","eui-70b3d57ed005bd07","2023-05-04T15:48:17.939949139Z","4","105","1.05","0","15",46.83346,8.1829,"48","5","2","8","26","23"
"75","eui-70b3d57ed005bd07","2023-05-04T15:47:36.361542134Z","4","128","1.28","0","15",46.83337,8.1828,"47","5","6","8","83","23"
"76","eui-70b3d57ed005bd07","2023-05-04T15:45:57.788483286Z","4","135","1.35","0","15",46.83344,8.18293,"45","5","10","6","21","23"
"77","eui-70b3d57ed005bd07","2023-05-04T15:45:21.198530029Z","4","219","2.19","0","15",46.83354,8.18295,"45","5","3","5","21","23"
"78","eui-70b3d57ed005bd07","2023-05-04T15:44:44.629027874Z","5","132","1.32","0","23",46.83362,8.18291,"59","1","10","7","26","80"
"79","eui-70b3d57ed005bd07","2023-05-04T15:44:03.050239497Z","4","121","1.21","0","15",46.83354,8.18295,"44","5","0","9","169","23"
"80","eui-70b3d57ed005bd07","2023-05-04T15:40:58.495710966Z","4","231","2.31","0","15",46.83352,8.1829,"40","5","11","7","74","23"
"81","eui-70b3d57ed005bd07","2023-05-04T15:35:41.905769630Z","4","0","2.56","0","15",46.8335,8.18289,"35","5","8","7","74","23"
"82","eui-70b3d57ed005bd07","2023-05-04T15:34:12.323373135Z","4","9","2.65","0","15",46.8336,8.18296,"34","5","2","6","39","23"
"83","eui-70b3d57ed005bd07","2023-05-04T15:33:17.756181221Z","4","21","2.77","0","15",46.83325,8.18287,"33","5","3","5","18","23"
"84","eui-70b3d57ed005bd07","2023-05-04T15:32:44.193238506Z","4","20","2.76","0","15",46.83365,8.18312,"32","5","8","5","21","23"
"85","eui-70b3d57ed005bd07","2023-05-04T15:32:07.614323832Z","4","14","5.26","0","15",46.83348,8.18305,"32","5","0","4","37","23"
"86","eui-70b3d57ed005bd07","2023-05-04T15:31:15.040533382Z","4","207","2.07","0","15",46.83368,8.18298,"30","5","10","0","21","23"
"87","eui-70b3d57ed005bd07","2023-05-04T15:25:58.523440833Z","4","30","2.86","0","15",46.83392,8.18323,"25","5","10","7","21","23"
"88","eui-70b3d57ed005bd07","2023-05-04T15:20:41.878861723Z","4","26","2.82","0","15",46.83368,8.18309,"20","5","8","7","21","23"
"89","eui-70b3d57ed005bd07","2023-05-04T15:20:05.296531714Z","4","42","2.98","0","15",46.83378,8.18305,"20","5","0","6","38","23"
"90","eui-70b3d57ed005bd07","2023-05-04T15:19:11.715595965Z","4","124","3.8","0","15",46.83376,8.18332,"19","5","2","5","39","23"
