"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-16T19:48:23.688981383Z","16","20","0","19",46.83424,8.18331,"48","4","96442.5","4","7.8","3.8137","23"
"2","eui-70b3d57ed00508ca","2023-04-16T18:48:03.656903314Z","16","10","0","18",46.83403,8.1838,"48","4","96414.1","0","9","3.8287","23"
"3","eui-70b3d57ed005bd07","2023-04-16T18:14:17.937619528Z","16","10","0","18",46.83352,8.18252,"14","4","96405.6","3","7.4","4.1312","23"
"4","eui-70b3d57ed005bd07","2023-04-16T18:04:05.014626339Z","16","10","0","18",46.83343,8.18288,"4","4","96399.3","0","8.4","4.1537","23"
"5","eui-70b3d57ed005bd07","2023-04-16T17:53:45.935742923Z","16","10","0","17",46.8334,8.18263,"53","4","96396","8","7.4","4.1662","23"
"6","eui-70b3d57ed00508ca","2023-04-16T17:47:10.620180615Z","16","10","0","17",46.83385,8.18326,"47","4","96386.2","1","9","3.8462","23"
"7","eui-70b3d57ed00508ca","2023-04-16T16:46:36.587696873Z","16","10","0","16",46.83362,8.18291,"46","4","96366.8","7","8.8","3.8562","23"
"8","eui-70b3d57ed005bd07","2023-04-16T15:53:32.863240803Z","16","20","0","15",46.83354,8.18258,"53","4","96355.3","6","7.4","4.13","23"
"9","eui-70b3d57ed00508ca","2023-04-16T15:46:11.569706452Z","16","10","0","15",46.83341,8.18272,"46","4","96340.1","1","9.2","3.8712","23"
"10","eui-70b3d57ed005bd07","2023-04-16T15:43:20.856546885Z","16","20","0","15",46.83361,8.18253,"43","4","96345.2","3","10.4","4.195","23"
"11","eui-70b3d57ed00508ca","2023-04-16T14:45:34.540419964Z","16","20","0","14",46.83322,8.18209,"45","4","96330.5","6","9","3.8812","23"
"12","eui-70b3d57ed00508ca","2023-04-16T13:45:12.510181521Z","16","20","0","13",46.82978,8.17422,"45","4","96319.3","2","10.4","3.8975","23"
"13","eui-70b3d57ed005bd07","2023-04-16T13:42:37.789144652Z","16","10","0","13",46.83332,8.18312,"42","4","96325.5","7","8.8","4.1387","23"
"14","eui-70b3d57ed005bd07","2023-04-16T13:32:22.793249069Z","16","10","0","13",46.83358,8.18317,"32","4","96318.7","4","11.6","4.1774","23"
"15","eui-70b3d57ed005bd07","2023-04-16T13:21:40.790589648Z","16","10","0","13",46.83306,8.18364,"21","4","96316.1","7","8.8","4.1612","23"
"16","eui-70b3d57ed005bd07","2023-04-16T13:11:26.796239712Z","16","10","0","13",46.8332,8.18314,"11","4","96319","5","12","4.2062","23"
"17","eui-70b3d57ed005bd07","2023-04-16T13:00:41.770187445Z","16","10","0","13",46.83344,8.18265,"0","4","96324.8","8","10.8","4.235","23"
"18","eui-70b3d57ed005bd07","2023-04-16T12:50:11.788050016Z","16","10","0","12",46.83367,8.18266,"50","4","96322.2","2","10","4.2462","23"
"19","eui-70b3d57ed00508ca","2023-04-16T12:44:33.473781148Z","16","20","0","12",46.83366,8.18346,"44","4","96318.6","6","10.2","3.895","23"
"20","eui-70b3d57ed005bd07","2023-04-16T12:39:48.785975896Z","16","10","0","12",46.83427,8.18258,"39","4","96327.8","9","9.8","4.255","23"
"21","eui-70b3d57ed005bd07","2023-04-16T12:29:29.762001498Z","16","10","0","12",46.8334,8.18263,"29","4","96326.7","5","8.8","4.2525","23"
"22","eui-70b3d57ed005bd07","2023-04-16T12:19:17.775208255Z","16","10","0","12",46.83288,8.18301,"19","4","96322.5","3","9.2","4.2537","23"
"23","eui-70b3d57ed005bd07","2023-04-16T12:09:04.776464821Z","16","10","0","12",46.8336,8.18276,"9","4","96318.1","0","9","4.2425","23"
"24","eui-70b3d57ed005bd07","2023-04-16T11:58:52.751565915Z","16","10","0","11",46.8336,8.18279,"58","4","96312.8","10","8.6","4.2125","23"
"25","eui-70b3d57ed005bd07","2023-04-16T11:48:41.748118124Z","16","10","0","11",46.83351,8.1829,"48","4","96306.9","8","12.2","4.2512","23"
"26","eui-70b3d57ed00508ca","2023-04-16T11:44:02.451524488Z","16","10","0","11",46.83387,8.18236,"44","4","96301","0","9","3.88","23"
"27","eui-70b3d57ed005bd07","2023-04-16T11:37:57.735233844Z","16","10","0","11",46.83336,8.18255,"37","4","96312.1","11","9.4","4.2399","23"
"28","eui-70b3d57ed005bd07","2023-04-16T11:27:40.747023185Z","16","10","0","11",46.83345,8.18297,"27","4","96309.9","7","10.8","4.2687","23"
"29","eui-70b3d57ed005bd07","2023-04-16T11:17:08.756240363Z","16","10","0","11",46.8334,8.18257,"17","4","96309.5","1","8","4.2512","23"
"30","eui-70b3d57ed005bd07","2023-04-16T11:06:57.747654652Z","16","10","0","11",46.83352,8.18266,"6","4","96305.9","11","8.6","4.2487","23"
"31","eui-70b3d57ed005bd07","2023-04-16T10:56:44.724663830Z","16","10","0","10",46.8334,8.18261,"56","4","96304.2","8","8.6","4.2425","23"
"32","eui-70b3d57ed005bd07","2023-04-16T10:46:32.722455156Z","16","10","0","10",46.8337,8.18274,"46","4","96303.6","6","11.6","4.2812","23"
"33","eui-70b3d57ed00508ca","2023-04-16T10:43:47.433660764Z","16","10","0","10",46.83355,8.18254,"43","4","96296.4","9","10.2","3.8637","23"
"34","eui-70b3d57ed005bd07","2023-04-16T10:35:59.705702141Z","16","10","0","10",46.83366,8.18278,"35","4","96300.5","11","9.4","4.28","23"
"35","eui-70b3d57ed005bd07","2023-04-16T10:25:46.713412383Z","16","10","0","10",46.83351,8.18224,"25","4","96298","8","9","4.2662","23"
"36","eui-70b3d57ed005bd07","2023-04-16T10:15:34.709561473Z","16","10","0","10",46.83449,8.18235,"15","4","96297.8","6","9.8","4.2675","23"
"37","eui-70b3d57ed005bd07","2023-04-16T10:05:18.727090587Z","16","10","0","10",46.83387,8.18342,"5","4","96294.1","3","9.4","4.27","23"
"38","eui-70b3d57ed005bd07","2023-04-16T09:55:06.698769955Z","16","10","0","9",46.83364,8.18265,"55","4","96293.8","0","9.6","4.255","23"
"39","eui-70b3d57ed005bd07","2023-04-16T09:44:54.695535795Z","16","10","0","9",46.83355,8.18261,"44","4","96289.5","10","9","4.2075","23"
"40","eui-70b3d57ed00508ca","2023-04-16T09:43:26.396961254Z","16","20","0","9",46.83332,8.1828,"43","4","96282","4","10.8","3.8387","23"
"41","eui-70b3d57ed005bd07","2023-04-16T09:34:42.688646051Z","16","10","0","9",46.83382,8.18332,"34","4","96284.9","8","11.6","4.25","23"
"42","eui-70b3d57ed005bd07","2023-04-16T09:24:11.703838928Z","16","10","0","9",46.83383,8.18257,"24","4","96281.8","1","9.6","4.2475","23"
"43","eui-70b3d57ed005bd07","2023-04-16T09:13:56.704030092Z","16","10","0","9",46.83356,8.18266,"13","4","96275.6","10","8.8","4.2287","23"
"44","eui-70b3d57ed005bd07","2023-04-16T09:03:45.678492641Z","16","10","0","9",46.83355,8.18283,"3","4","96270.6","8","10.4","4.2362","23"
"45","eui-70b3d57ed005bd07","2023-04-16T08:53:27.688347115Z","16","10","0","8",46.83346,8.18291,"53","4","96267.3","5","9.8","4.2362","23"
"46","eui-70b3d57ed005bd07","2023-04-16T08:43:13.683854324Z","16","10","0","8",46.83356,8.18333,"43","4","96267.5","2","8.8","4.205","23"
"47","eui-70b3d57ed00508ca","2023-04-16T08:42:52.383295537Z","16","20","0","8",46.83363,8.18315,"40","4","96259.1","8","9.8","3.8425","23"
"48","eui-70b3d57ed005bd07","2023-04-16T08:33:02.683322337Z","16","10","0","8",46.83348,8.18284,"33","4","96256.2","0","12.4","4.2475","23"
"49","eui-70b3d57ed00508ca","2023-04-16T07:39:43.361635402Z","16","20","0","7",46.83363,8.18315,"37","4","96215.5","4","8.6","3.8225","23"
"50","eui-70b3d57ed00508ca","2023-04-16T06:36:34.321641290Z","16","20","0","6",46.83363,8.18315,"34","4","96175.4","1","7.6","3.8162","23"
"51","eui-70b3d57ed005bd07","2023-04-16T06:32:16.618679105Z","16","10","0","6",46.83359,8.18278,"32","4","96180.3","3","9","4.1112","23"
"52","eui-70b3d57ed00508ca","2023-04-16T05:33:25.287124212Z","16","20","0","5",46.83363,8.18315,"31","4","96164.6","0","7.2","3.8387","23"
"53","eui-70b3d57ed005bd07","2023-04-16T04:31:42.561277157Z","16","10","0","4",46.83341,8.18293,"31","4","96150.9","8","8","4.085","23"
"54","eui-70b3d57ed00508ca","2023-04-16T04:30:16.241944513Z","16","20","0","4",46.83363,8.18315,"28","4","96143.1","0","7.2","3.9025","23"
"55","eui-70b3d57ed00508ca","2023-04-16T03:27:07.279707833Z","16","20","0","3",46.83363,8.18315,"27","4","96100.9","1","8.2","3.93","23"
"56","eui-70b3d57ed005bd07","2023-04-16T02:31:12.496021161Z","16","10","0","2",46.83341,8.18336,"31","4","96097.8","2","8","4.0975","23"
"57","eui-70b3d57ed00508ca","2023-04-16T02:26:14.174051134Z","16","30","0","2",46.8331,8.18224,"26","4","96086.6","2","7.4","3.9425","23"
"58","eui-70b3d57ed00508ca","2023-04-16T01:25:46.135091127Z","16","10","0","1",46.83362,8.18269,"25","4","96046.1","8","6.2","3.9387","23"
"59","eui-70b3d57ed005bd07","2023-04-16T00:30:42.426835631Z","16","10","0","0",46.83344,8.1828,"30","4","96063.6","8","8.8","4.1149","23"
"60","eui-70b3d57ed00508ca","2023-04-16T00:25:33.096062976Z","16","10","0","0",46.83376,8.18254,"25","4","96061.7","6","7.6","3.9525","23"
"61","eui-70b3d57ed00508ca","2023-04-15T23:25:03.057102745Z","15","10","0","23",46.83327,8.18309,"25","4","96083.8","0","7.4","3.9612","23"
"62","eui-70b3d57ed005bd07","2023-04-15T22:30:04.340661268Z","15","10","0","22",46.83332,8.18272,"30","4","96082.6","0","9.2","4.1337","23"
"63","eui-70b3d57ed00508ca","2023-04-15T22:24:35.022394676Z","15","20","0","22",46.83364,8.18313,"24","4","96073","6","8.4","3.9737","23"
"64","eui-70b3d57ed00508ca","2023-04-15T21:24:01.986019799Z","15","20","0","21",46.83342,8.18329,"24","4","95954.2","0","8.2","3.9925","23"
"65","eui-70b3d57ed005bd07","2023-04-15T20:29:23.270986886Z","15","10","0","20",46.83354,8.18285,"29","4","95916.9","4","5.4","4.0962","23"
"66","eui-70b3d57ed00508ca","2023-04-15T20:23:27.959407345Z","15","10","0","20",46.8338,8.18302,"23","4","95914.1","5","7.2","3.9975","23"
"67","eui-70b3d57ed005bd07","2023-04-15T20:19:12.266714925Z","15","10","0","20",46.83339,8.18276,"19","4","95927.5","2","8.8","4.155","23"
"68","eui-70b3d57ed00508ca","2023-04-15T19:23:04.913181638Z","15","10","0","19",46.83458,8.18357,"23","4","95884","0","7.6","4.0162","23"
"69","eui-70b3d57ed00508ca","2023-04-15T18:22:21.877056032Z","15","20","0","18",46.83398,8.1838,"22","4","95843.2","3","8","4.0237","23"
"70","eui-70b3d57ed005bd07","2023-04-15T18:18:32.207785875Z","15","10","0","18",46.83327,8.18214,"18","4","95839.6","6","9.4","4.14","23"
"71","eui-70b3d57ed005bd07","2023-04-15T18:08:00.199015932Z","15","10","0","18",46.83339,8.18129,"7","4","95813.8","11","8.2","4.1537","23"
"72","eui-70b3d57ed005bd07","2023-04-15T17:57:41.186446632Z","15","10","0","17",46.83338,8.18128,"57","4","95801.8","7","7.2","4.1537","23"
"73","eui-70b3d57ed005bd07","2023-04-15T17:47:28.191895103Z","15","10","0","17",46.8336,8.18233,"47","4","95788.9","5","7.8","4.1525","23"
"74","eui-70b3d57ed005bd07","2023-04-15T17:37:12.173229166Z","15","10","0","17",46.83354,8.18314,"37","4","95758.7","2","9.8","4.195","23"
"75","eui-70b3d57ed005bd07","2023-04-15T17:26:37.175438284Z","15","10","0","17",46.83338,8.18267,"26","4","95739.5","6","8.4","4.2062","23"
"76","eui-70b3d57ed00508ca","2023-04-15T17:21:58.852111723Z","15","10","0","17",46.83377,8.18242,"21","4","95718.5","11","7.8","4.0187","23"
