"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-18T19:37:49.231716546Z","18","10","0","19",46.83351,8.18234,"37","4","96113.9","9","11.8","4.045","23"
"2","eui-70b3d57ed00508ca","2023-04-18T19:17:37.225688684Z","18","10","0","19",46.83333,8.18283,"17","4","96102","6","14.2","4.0562","23"
"3","eui-70b3d57ed00508ca","2023-04-18T18:57:16.214529320Z","18","10","0","18",46.8337,8.18279,"57","4","96077.5","2","14.6","4.0662","23"
"4","eui-70b3d57ed00508ca","2023-04-18T18:36:56.215125792Z","18","10","0","18",46.83374,8.18328,"36","4","96049.6","10","13.6","4.0687","23"
"5","eui-70b3d57ed005bd07","2023-04-18T18:31:33.026932244Z","18","10","0","18",46.83363,8.18272,"31","4","96053.9","6","13.6","4.1275","23"
"6","eui-70b3d57ed005bd07","2023-04-18T18:21:20.030630467Z","18","10","0","18",46.83366,8.18301,"21","4","96037","3","17.6","4.1662","23"
"7","eui-70b3d57ed00508ca","2023-04-18T18:16:43.215554361Z","18","10","0","18",46.83366,8.18331,"16","4","96026.6","8","14.2","4.0712","23"
"8","eui-70b3d57ed005bd07","2023-04-18T18:10:32.037419870Z","18","10","0","18",46.83354,8.18283,"10","4","96033.1","6","16.8","4.1887","23"
"9","eui-70b3d57ed005bd07","2023-04-18T17:59:59.019419519Z","18","10","0","17",46.83352,8.18309,"59","4","96026.2","11","17","4.2125","23"
"10","eui-70b3d57ed00508ca","2023-04-18T17:56:30.232909409Z","18","10","0","17",46.83368,8.18255,"56","4","96015.7","5","14.6","4.0737","23"
"11","eui-70b3d57ed005bd07","2023-04-18T17:49:27.021427441Z","18","10","0","17",46.83352,8.1828,"49","4","96020.4","5","17.4","4.2387","23"
"12","eui-70b3d57ed005bd07","2023-04-18T17:38:54.009290519Z","18","10","0","17",46.83359,8.18313,"38","4","96011.4","10","17.6","4.2612","23"
"13","eui-70b3d57ed00508ca","2023-04-18T17:36:18.224548794Z","18","10","0","17",46.83355,8.18274,"36","4","96001.8","3","15","4.0712","23"
"14","eui-70b3d57ed005bd07","2023-04-18T17:28:21.021664767Z","18","10","0","17",46.83346,8.18286,"28","4","96009","3","18.8","4.315","23"
"15","eui-70b3d57ed005bd07","2023-04-18T17:17:39.017206700Z","18","10","0","17",46.8335,8.18274,"17","4","96003.9","7","15.6","4.3187","23"
"16","eui-70b3d57ed005bd07","2023-04-18T17:07:27.032749943Z","18","10","0","17",46.83338,8.18255,"7","4","96003.6","4","16","4.3262","23"
"17","eui-70b3d57ed005bd07","2023-04-18T16:57:15.030865392Z","18","10","0","16",46.83215,8.17951,"57","4","95996.8","2","16.4","4.3125","23"
"18","eui-70b3d57ed005bd07","2023-04-18T16:47:03.024020036Z","18","10","0","16",46.83348,8.18288,"47","4","95986.3","0","20.8","4.3575","23"
"19","eui-70b3d57ed005bd07","2023-04-18T16:36:07.018456576Z","18","10","0","16",46.83376,8.18297,"36","4","95982.8","0","17.6","4.3575","23"
"20","eui-70b3d57ed00508ca","2023-04-18T16:36:06.246659252Z","18","10","0","16",46.83404,8.18294,"36","4","95973","0","17.2","4.0187","23"
"21","eui-70b3d57ed005bd07","2023-04-18T16:25:53.036489661Z","18","10","0","16",46.83521,8.18375,"25","4","95981.6","10","18.6","4.3487","23"
"22","eui-70b3d57ed00508ca","2023-04-18T16:15:55.243026049Z","18","0","0","16",46.83339,8.18275,"15","4","95962.2","10","25.4","4.1062","23"
"23","eui-70b3d57ed005bd07","2023-04-18T16:15:38.034532649Z","18","10","0","16",46.83353,8.18275,"15","4","95974.7","7","20.4","4.3587","23"
"24","eui-70b3d57ed005bd07","2023-04-18T16:05:25.031055616Z","18","10","0","16",46.83307,8.18226,"5","4","95962.7","4","25.6","4.3562","23"
"25","eui-70b3d57ed00508ca","2023-04-18T16:02:46.248336459Z","18","0","0","16",46.83342,8.18269,"2","4","95952.8","8","28.4","4.2387","23"
"26","eui-70b3d57ed005bd07","2023-04-18T15:55:12.023129267Z","18","10","0","15",46.83346,8.18282,"55","4","95962.5","2","26.8","4.3587","23"
"27","eui-70b3d57ed00508ca","2023-04-18T15:49:37.273192272Z","18","0","0","15",46.83339,8.18281,"49","4","95945.2","7","34.6","4.3612","23"
"28","eui-70b3d57ed005bd07","2023-04-18T15:44:36.064292065Z","18","10","0","15",46.83328,8.18256,"44","4","95959","6","33.8","4.3562","23"
"29","eui-70b3d57ed00508ca","2023-04-18T15:36:28.282809478Z","18","20","0","15",46.83248,8.18353,"36","4","95939.5","5","31.2","4.3612","23"
"30","eui-70b3d57ed005bd07","2023-04-18T15:34:07.030091205Z","18","10","0","15",46.83334,8.1827,"34","4","95948","0","33.4","4.3575","23"
"31","eui-70b3d57ed00508ca","2023-04-18T15:26:16.268602411Z","18","10","0","15",46.83286,8.18269,"26","4","95938","2","32","4.3612","23"
"32","eui-70b3d57ed005bd07","2023-04-18T15:23:50.030045920Z","18","10","0","15",46.83359,8.18327,"23","4","95946","9","34.4","4.3662","23"
"33","eui-70b3d57ed00508ca","2023-04-18T15:16:05.276747155Z","18","10","0","15",46.8335,8.18285,"16","4","95935.8","0","36.6","4.3625","23"
"34","eui-70b3d57ed005bd07","2023-04-18T15:13:34.031540414Z","18","10","0","15",46.83338,8.18258,"13","4","95952.3","6","35","4.3562","23"
"35","eui-70b3d57ed00508ca","2023-04-18T15:05:04.291413209Z","18","10","0","15",46.83346,8.18263,"5","4","95944","0","36.6","4.3637","23"
"36","eui-70b3d57ed005bd07","2023-04-18T15:03:13.037852440Z","18","10","0","15",46.83383,8.18286,"3","4","95953.5","2","38.2","4.3587","23"
"37","eui-70b3d57ed00508ca","2023-04-18T14:54:32.278647778Z","18","10","0","14",46.83346,8.18277,"54","4","95945.4","5","35.8","4.3637","23"
"38","eui-70b3d57ed005bd07","2023-04-18T14:52:36.023149165Z","18","10","0","14",46.83373,8.18304,"52","4","95952.8","6","38.4","4.3575","23"
"39","eui-70b3d57ed00508ca","2023-04-18T14:44:14.284042289Z","18","10","0","14",46.83358,8.18292,"44","4","95942.1","2","36","4.3625","23"
"40","eui-70b3d57ed005bd07","2023-04-18T14:42:05.021946546Z","18","10","0","14",46.83348,8.18283,"42","4","95952.2","0","37.6","4.3575","23"
"41","eui-70b3d57ed00508ca","2023-04-18T14:33:58.283305403Z","18","10","0","14",46.83353,8.18284,"33","4","95941.6","11","35.2","4.3649","23"
"42","eui-70b3d57ed005bd07","2023-04-18T14:31:48.041078154Z","18","10","0","14",46.83338,8.18243,"31","4","95949.3","9","37","4.3575","23"
"43","eui-70b3d57ed00508ca","2023-04-18T14:23:46.301337688Z","18","10","0","14",46.83367,8.18265,"23","4","95943.6","8","35.8","4.3637","23"
"44","eui-70b3d57ed005bd07","2023-04-18T14:21:32.008252395Z","18","10","0","14",46.8338,8.18273,"21","4","95953.5","6","36.8","4.3587","23"
"45","eui-70b3d57ed00508ca","2023-04-18T14:13:32.296137568Z","18","10","0","14",46.83344,8.18262,"13","4","95949.1","6","37.6","4.3637","23"
"46","eui-70b3d57ed005bd07","2023-04-18T14:11:17.008019462Z","18","10","0","14",46.83364,8.18289,"11","4","95957.4","3","38.8","4.3575","23"
"47","eui-70b3d57ed00508ca","2023-04-18T14:03:07.303674959Z","18","10","0","14",46.8336,8.18282,"3","4","95946.8","1","37.8","4.3649","23"
"48","eui-70b3d57ed005bd07","2023-04-18T14:01:00.993296078Z","18","10","0","14",46.8336,8.18272,"0","4","95956.5","11","39.8","4.3575","23"
"49","eui-70b3d57ed00508ca","2023-04-18T13:52:48.326328371Z","18","10","0","13",46.8336,8.18277,"52","4","95952","9","36.8","4.3662","23"
"50","eui-70b3d57ed005bd07","2023-04-18T13:50:45.013106243Z","18","20","0","13",46.83344,8.18253,"50","4","95964.4","8","39.6","4.36","23"
"51","eui-70b3d57ed00508ca","2023-04-18T13:42:36.310523448Z","18","10","0","13",46.83326,8.18263,"42","4","95956.7","6","35.6","4.3662","23"
"52","eui-70b3d57ed005bd07","2023-04-18T13:40:17.996358689Z","18","30","0","13",46.83336,8.18248,"40","4","95967.3","3","38.8","4.3587","23"
"53","eui-70b3d57ed00508ca","2023-04-18T13:32:24.315161590Z","18","10","0","13",46.83345,8.18277,"32","4","95962.8","4","35.8","4.3662","23"
