"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-03T13:24:27.118545424Z","3","40","0","13",46.83319,8.18277,"24","4","96390.4","4","10.4","3.99","23"
"2","eui-70b3d57ed00508ca","2023-04-03T10:23:44.073403975Z","3","20","0","10",46.83353,8.18297,"23","4","96466.8","8","17.8","3.9925","23"
"3","eui-70b3d57ed00508ca","2023-04-03T07:21:11.369299774Z","3","20","0","7",46.83379,8.18322,"21","4","96396.1","1","22","3.9725","23"
"4","eui-70b3d57ed00508ca","2023-04-03T07:13:00.878631466Z","3","10","0","7",46.83355,8.18314,"12","4","0","11","40.2","3.99","23"
"5","eui-70b3d57ed00508ca","2023-04-03T06:11:10.803029572Z","3","10","0","6",46.83368,8.18308,"11","4","0","1","40.2","3.99","23"
"6","eui-70b3d57ed00508ca","2023-04-03T05:10:54.756653937Z","3","10","0","5",46.8336,8.18203,"10","4","0","10","40.2","3.9912","23"
"7","eui-70b3d57ed00508ca","2023-04-03T04:10:36.684590061Z","3","30","0","4",46.83351,8.18286,"10","4","0","6","40.2","3.9937","23"
"8","eui-70b3d57ed00508ca","2023-04-03T03:10:21.646132664Z","3","0","0","3",46.83347,8.18256,"10","4","0","3","40.2","4.0575","23"
"9","eui-70b3d57ed00508ca","2023-04-03T02:06:12.588154998Z","3","10","0","2",46.83331,8.18263,"6","4","0","2","40.2","4.0625","23"
"10","eui-70b3d57ed00508ca","2023-04-03T01:05:50.518064163Z","3","10","0","1",46.83344,8.18233,"5","4","0","9","40.2","4.0662","23"
"11","eui-70b3d57ed00508ca","2023-04-03T00:05:36.481323665Z","3","10","0","0",46.8332,8.18264,"5","4","0","6","40.2","4.0675","23"
"12","eui-70b3d57ed00508ca","2023-04-02T23:05:21.433938215Z","2","0","0","23",46.83344,8.18271,"5","4","0","3","40.2","4.1125","23"
"13","eui-70b3d57ed00508ca","2023-04-02T22:01:12.454061499Z","2","10","0","22",46.83323,8.18204,"1","4","0","2","40.2","4.1187","23"
"14","eui-70b3d57ed00508ca","2023-04-02T21:00:47.313108982Z","2","10","0","21",46.83336,8.18236,"0","4","0","8","40.2","4.1212","23"
"15","eui-70b3d57ed00508ca","2023-04-02T20:00:33.277491270Z","2","10","0","20",46.83344,8.18267,"0","4","0","6","40.2","4.1312","23"
"16","eui-70b3d57ed00508ca","2023-04-02T18:59:54.269410751Z","2","10","0","18",46.83348,8.18253,"59","4","0","10","40.2","4.1375","23"
"17","eui-70b3d57ed00508ca","2023-04-02T17:59:28.196353334Z","2","30","0","17",46.83301,8.18233,"59","4","0","5","40.2","4.145","23"
"18","eui-70b3d57ed00508ca","2023-04-02T16:59:02.187050181Z","2","20","0","16",46.83338,8.18265,"59","4","0","0","40.2","4.155","23"
"19","eui-70b3d57ed00508ca","2023-04-02T15:58:25.180739021Z","2","10","0","15",46.83343,8.18271,"58","4","0","4","40.2","4.125","23"
"20","eui-70b3d57ed00508ca","2023-04-02T14:58:03.188827719Z","2","20","0","14",46.83371,8.18311,"58","4","0","0","40.2","4.0887","23"
"21","eui-70b3d57ed00508ca","2023-04-02T13:57:31.172123860Z","2","10","0","13",46.83372,8.18223,"57","4","0","5","40.2","4.0225","23"
"22","eui-70b3d57ed00508ca","2023-04-02T12:57:08.143803895Z","2","10","0","12",46.83369,8.18263,"57","4","0","1","40.2","3.9775","23"
