"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-06T13:48:32.176406401Z","6","10","0","13",46.83337,8.18273,"48","4","96015.5","6","30","4.7562","23"
"2","eui-70b3d57ed00508ca","2023-04-06T10:47:48.205503434Z","6","10","0","10",46.83324,8.18289,"47","4","96131.9","9","49.2","4.6825","23"
"3","eui-70b3d57ed00508ca","2023-04-06T07:47:21.260613614Z","6","10","0","7",46.8335,8.18296,"47","4","96236.9","3","6.4","4.13","23"
"4","eui-70b3d57ed00508ca","2023-04-06T04:46:37.984722425Z","6","10","0","4",46.83345,8.18271,"46","4","96184.8","7","4.6","4.165","23"
"5","eui-70b3d57ed00508ca","2023-04-06T01:43:44.769962721Z","6","0","0","1",46.83351,8.18271,"43","4","96193.4","8","5.2","4.2462","23"
"6","eui-70b3d57ed00508ca","2023-04-05T22:40:35.594869852Z","5","10","0","22",46.83368,8.18258,"40","4","96245.3","6","2.2","4.2637","23"
"7","eui-70b3d57ed00508ca","2023-04-05T19:40:02.443562105Z","5","20","0","19",46.83368,8.18267,"40","4","96218.3","0","5.2","3.9187","23"
"8","eui-70b3d57ed00508ca","2023-04-05T16:39:25.420939645Z","5","10","0","16",46.83328,8.18236,"39","4","96050.7","4","13.2","4.4487","23"
"9","eui-70b3d57ed00508ca","2023-04-05T13:39:03.491813453Z","5","10","0","13",46.83373,8.18232,"39","4","96058.6","0","46","3.5137","23"
