"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed005cc96","2023-04-29T16:42:59.714719776Z","0","0","0","0",0,0,"0","0","95934.3","0","20.2","3.8937","0"
"2","eui-70b3d57ed005cc96","2023-04-29T10:39:50.663066815Z","0","0","0","0",0,0,"0","0","95820.3","0","39","3.9075","0"
"3","eui-70b3d57ed005cc97","2023-04-29T08:28:12.742130820Z","0","0","0","0",0,0,"0","0","95892.1","0","23.2","3.7112","0"
"4","eui-70b3d57ed005cc96","2023-04-29T04:36:41.508558995Z","0","0","0","0",0,0,"0","0","95879.5","0","14","3.8637","0"
"5","eui-70b3d57ed005cc97","2023-04-29T02:25:03.682322600Z","0","0","0","0",0,0,"0","0","95891.5","0","17.8","3.82","0"
"6","eui-70b3d57ed005cc96","2023-04-28T22:33:32.318698821Z","0","0","0","0",0,0,"0","0","95890.7","0","16.8","3.935","0"
"7","eui-70b3d57ed005cc97","2023-04-28T20:21:54.557304882Z","0","0","0","0",0,0,"0","0","95861.4","0","21","3.865","0"
"8","eui-70b3d57ed005cc96","2023-04-28T16:30:23.297284452Z","0","0","0","0",0,0,"0","0","95724.5","0","28.2","4.0287","0"
"9","eui-70b3d57ed005cc96","2023-04-28T15:57:14.229754814Z","0","0","0","0",0,0,"0","0","95740.3","0","29.8","4.2","0"
"10","eui-70b3d57ed005cc97","2023-04-28T14:18:45.626496446Z","0","0","0","0",0,0,"0","0","95847.5","0","34.4","3.905","0"
"11","eui-70b3d57ed005cc96","2023-04-28T13:54:05.217198565Z","0","0","0","0",0,0,"0","0","95891.3","0","32.4","4.0612","0"
"12","eui-70b3d57ed005cc96","2023-04-28T13:20:56.230704689Z","0","0","0","0",0,0,"0","0","95958.9","0","30.2","4.1637","0"
"13","eui-70b3d57ed005cc96","2023-04-28T12:47:47.216097309Z","0","0","0","0",0,0,"0","0","95983","0","33.8","4.3275","0"
